uid,Family,time,status,n_observations,experiment_id,Experiment,temperature_C,Family_identity_note
plate-A_C03,7,48,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-B_A02,7,48,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-B_A03,9,48,1,7,20260609,20260609 - 36 C,36,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-B_A04,5,48,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-B_B01,6,48,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-B_B02,10,26,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-B_B03,8,52,0,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-B_B04,9B,52,0,7,20260609,20260609 - 36 C,36,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-B_C01,1,48,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-B_C02,3,52,0,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-B_C03,3,48,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-B_C04,6,52,0,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-C_A01,6,26,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-C_A03,7,24,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-C_A04,9,52,0,7,20260609,20260609 - 36 C,36,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-C_B01,5,29,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-C_B02,6,52,0,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-C_B03,10,24,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-C_B04,8,48,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-C_C01,9B,50,1,7,20260609,20260609 - 36 C,36,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-C_C02,1,48,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-C_C03,3,48,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-C_C04,9B,50,1,7,20260609,20260609 - 36 C,36,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-D_A01,9B,52,0,7,20260609,20260609 - 36 C,36,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-D_A02,5,50,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-D_A04,7,24,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-D_B01,9,48,1,7,20260609,20260609 - 36 C,36,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-D_B02,5,52,0,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-D_B03,6,24,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-D_B04,10,26,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-D_C01,8,50,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-D_C02,9B,29,1,7,20260609,20260609 - 36 C,36,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-D_C03,1,50,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-D_C04,3,29,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-E_A01,3,29,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-E_A02,10,48,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-E_A03,5,50,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-E_B01,7,48,1,7,20260609,20260609 - 36 C,36,Observed label treated as family identity
plate-E_B02,9,48,1,7,20260609,20260609 - 36 C,36,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
